"Acanthocerataceae"	"Acaryochloridaceae"	"Acipenseridae"	"Amphipleuraceae"	"Anarhichadidae"	"Anaulaceae"	"Anguillidae"	"Aphanizomenonaceae"	"Aphanothecaceae"	"Apogonidae"	"Apusomonadidae"	"Attheyaceae"	"Bacillariaceae"	"Balaenopteridae"	"Bathycoccaceae"	"Batrachoididae"	"Biddulphiaceae"	"Blenniidae"	"Bovichtidae"	"Brachionidae"	"Bracteacoccaceae"	"Bryopsidaceae"	"Calanidae"	"Callorhinchidae"	"Calotrichaceae"	"Carangidae"	"Chaetocerotaceae"	"Chamaesiphonaceae"	"Channichthyidae"	"Chlamydomonadaceae"	"Chlorellaceae"	"Chlorobiaceae"	"Chlorococcaceae"	"Chlorodendraceae"	"Chloroflexaceae"	"Chloropicaceae"	"Chromulinaceae"	"Chroococcaceae"	"Chroococcidiopsidaceae"	"Chroomonadaceae"	"Clupeidae"	"Coelacanthidae"	"Coleofasciculaceae"	"Coscinodiscaceae"	"Cyanidiaceae"	"Cyanothecaceae"	"Cyclopteridae"	"Cymatosiraceae"	"Delphinidae"	"Dermocarpellaceae"	"Desmidiaceae"	"Eirenidae"	"Engraulidae"	"Entomoneidaceae"	"Eucalanidae"	"Euglenaceae"	"Eunotiaceae"	"Euplotidae"	"Fonticulaceae"	"Fragilariaceae"	"Fundulidae"	"Gadidae"	"Gasterosteidae"	"Geminigeraceae"	"Gloeobacteraceae"	"Gloeomargaritaceae"	"Gobiidae"	"Golenkiniaceae"	"Gomontiellaceae"	"Gomphonemataceae"	"Gonyaulacaceae"	"Gymnodiniaceae"	"Haematococcaceae"	"Halimedaceae"	"Hapalosiphonaceae"	"Heliobacteriaceae"	"Hemiaulaceae"	"Hexamitidae"	"Histionidae"	"Holocentridae"	"Hydridae"	"Hydrodictyaceae"	"Hyellaceae"	"Klebsormidiaceae"	"Koliellaceae"	"Kryptoperidiniaceae"	"Lateolabracidae"	"Leptocylindraceae"	"Leptolyngbyaceae"	"Lithodesmiaceae"	"Mamiellaceae"	"Merismopediaceae"	"Metridinidae"	"Microcoleaceae"	"Microcystaceae"	"Monodontidae"	"Monodopsidaceae"	"Mustelidae"	"Myxinidae"	"Naviculaceae"	"Nephroselmidaceae"	"Noelaerhabdaceae"	"Nostocaceae"	"Octopodidae"	"Oculatellaceae"	"Oscillatoriaceae"	"Ostreobiaceae"	"Otariidae"	"Oxytrichidae"	"Paralichthyidae"	"Parameciidae"	"Paulinellidae"	"Pedinomonadaceae"	"Pelagiidae"	"Perkinsidae"	"Petromyzontidae"	"Phaeocystaceae"	"Phaeodactylaceae"	"Phocidae"	"Phocoenidae"	"Physeteridae"	"Plagiogrammaceae"	"Pleuronectidae"	"Prasinococcaceae"	"Prochloraceae"	"Prochlorotrichaceae"	"Pseudanabaenaceae"	"Pycnococcaceae"	"Pyramimonadaceae"	"Radiococcaceae"	"Rajidae"	"Rhincodontidae"	"Rhizosoleniaceae"	"Rivulariaceae"	"Roseiflexaceae"	"Salmonidae"	"Salpingoecidae"	"Sarcinofilaceae"	"Sciaenidae"	"Scyliorhinidae"	"Scytonemataceae"	"Sebastidae"	"Selenastraceae"	"Serranidae"	"Skeletonemataceae"	"Sparidae"	"Sphaerozoidae"	"Staurosiraceae"	"Stephanodiscaceae"	"Suessiaceae"	"Synechococcaceae"	"Syngnathidae"	"Temoridae"	"Tetrahymenidae"	"Tetraodontidae"	"Thalassiosiraceae"	"Tolypothrichaceae"	"Toxariaceae"	"Trebouxiaceae"	"Triceratiaceae"	"Triparmaceae"	"Ulnariaceae"	"Ulotrichaceae"	"Ulvaceae"	"Vahlkampfiidae"	"Volvocaceae"	"Zygnemataceae"
"9.84"	6.29	1.74	33.57	0.88	25.69	4.74	16.56	53	30.15	268.74	12.07	10.61	31.88	12.72	58.57	185.58	3.75	181.35	159.5	3.28	6.87	0	1.42	10.85	72.28	164.68	164.88	3.11	195.1	9.86	16.58	50.73	0.43	5.74	3.86	2.43	0	19.27	17.33	0.48	76.32	12.4	1.24	4.12	19.24	4.57	35.57	1.54	16.65	10.15	1.48	0.56	0	1.33	1.33	0.92	2.77	0.98	1.95	5.11	17.48	193.07	24.77	20.26	4.33	3.42	21.12	0	1.65	2.16	0.4	2.94	0	1.36	7.4	14.06	9.84	2.71	0.38	343.28	13.5	0.43	12.34	12.17	0	1.66	186.79	4.08	15.71	2.78	27.19	9.13	0.44	8.9	26.11	8.95	9.45	191.71	7.63	4.61	6.72	52.32	122.97	41.25	0.77	32.69	2.2	5.73	0.53	22.73	21.38	5.84	0.89	2.53	2.18	22.48	9.63	6.4	20.3	10.08	15.98	4.02	22.97	0	42.06	2.16	6.23	1.55	1.44	0	27.93	18.36	4.97	5.92	11.55	777.42	11.87	2.93	235.92	64.26	25.18	16.13	13.5	608.12	21.48	316.37	11.44	4.35	34.52	0	247.05	101.4	9.78	42.36	104.58	65.21	1.75	1.19	1.27	0.48	12.54	0.94	5.74	0.75	30.73	7.06	2.91
"10.73"	2.41	5.69	27.4	1.53	18.77	0.73	16.55	47.78	55.59	244.85	3.56	6.44	38.36	19.53	137.65	165.48	0.74	177.07	151.85	1.56	0	0.4	1.97	21.85	75.53	142.1	29.66	2.37	202.27	26.73	18.37	27.62	0	2.92	3.59	15.37	1.32	38.34	8.4	0	126.85	22.8	2.11	1.81	7.01	3.97	11.18	2.25	17.4	14.07	1.16	0.39	0	1.29	4.7	2.61	0	7.18	4.45	0.83	15.48	299.15	35.49	15.04	6.1	3.23	22.91	0.84	2.28	1.09	0	3.17	0	2.05	8.29	10.13	4.27	2.96	4.22	315.84	32.41	1.55	9.66	0.5	0.38	1.82	186.34	8.51	12.52	2.28	24.88	4.92	0.82	24.75	12	4.52	9.97	201.73	0.39	3.03	0.81	74.38	131.93	15.39	1.7	21.27	9.25	16.5	1.21	6.65	16.54	2.59	0.67	2.2	4.69	14.59	14.66	11.49	26.49	11.96	4.23	5.56	10.22	0.24	37.88	1.19	4.82	1.14	1.97	7.12	19.03	13.33	3.18	15.45	9.96	797.72	11.35	5.81	239.6	87.04	9.07	17.46	7.94	577.88	25.54	344.78	10.4	0.54	45.56	0	229.16	102.4	15.22	18.14	112.47	60.99	2.31	0.79	4.69	0.9	19.2	3.95	3.31	0.41	35.12	10.08	2.95
"11.17"	0.49	2.03	27.35	1.46	14.93	0.45	13.54	26.32	54.41	337.52	9.23	2.99	32.46	25.06	80.82	185.11	0.49	195.11	204.61	1.28	0	0.89	1.66	10.55	76.59	218.06	15.51	1.88	198.69	14.52	10.58	38.04	0.52	0	6.72	4.07	0	24.88	4.66	0	47.57	11.97	1.66	1.65	4.99	2.61	21.91	0.89	18.87	16.84	4.29	4.49	0	0.96	2.34	0	1.34	0.53	4.64	3.03	13.79	306	20.99	10.15	7.6	2.85	22.37	0.32	2.64	0.37	0	0	0	0.52	9.04	28.87	3.52	0	1.22	295.57	11	0.93	4.95	0.55	0.56	1.34	169.29	3.39	22.44	0	24.12	7.01	1.25	49.11	13.53	7.49	9.21	207.91	0	1.65	0.78	44.14	124.92	37.79	1.81	23.91	1.62	12.89	1.85	11.96	37.77	3.81	0	3.33	2.97	15.44	10.49	2.9	32.39	5.99	7.69	1.99	12.44	0.43	42.53	0.35	19.4	2.62	1.35	0	22.07	6.52	4.57	6.58	7.06	808.14	18.73	14.28	247.69	77.64	12.72	13.29	7.38	604.09	17.07	391.86	4.54	2.85	26.26	0.42	207.44	95.43	18.24	31.17	122.49	43.54	5.1	1.05	1.68	1.41	12.28	0.56	0.85	0.93	21.45	12.34	2.11
"11.56"	0.6	9.02	21.37	1.21	16.88	1.64	10.15	40.64	57.34	305.63	4.58	4.31	42.3	86.28	114.94	132.81	0.41	153.56	167.18	0	0	0.58	1.12	22.45	50.32	188.07	23.02	3.03	154.73	15.87	6.94	54.81	0	0	10.64	13.42	5.03	31.69	4.7	0	54.11	19.79	1.61	7.09	6.96	0.56	24.76	2.09	30.43	15.39	0.48	0.6	0	0.52	1.69	2.87	0	4.49	7.72	2.28	18.71	360.07	33.54	21.64	13.67	2.28	24.3	0	4.25	1.56	0	1.75	8.81	1.67	4.47	9.16	4.81	4.57	3.97	308.12	8.91	1.06	2.09	0.54	0	1.87	160.85	2.82	16.23	1.06	41.53	2.2	4.89	24.98	24.18	19.33	11.04	189.91	0.45	3.4	0	81.39	101.97	18.48	3.64	17.39	3.9	15.49	1.63	8.06	14.58	4.98	0	4.3	3.99	15	23.43	7.61	20.23	13.05	9.14	2.18	14.1	5.42	35.57	4	18.58	3.58	1.7	1.53	13.68	18.89	4.69	7.69	13.37	775.8	18.79	4.83	238.74	62.02	11.25	15.54	10.66	485.16	24.53	337.18	3.77	1.11	40.82	1.25	408.07	96.16	15.69	22.55	81.58	73.86	2.63	1.46	3.53	0	17.69	1.76	0	1.12	23.95	11.79	1.07
"12.13"	0	12.46	33.84	1.6	20.44	1.09	25.78	30.02	42.05	280.94	9.21	6.69	43.26	5.5	56.71	168.61	1.1	186.1	188.43	2.23	0	0	1.17	8.64	81.35	218.96	8.29	5.58	187.88	20.41	12.06	30.83	0	1.8	6.45	7.86	0	33.02	79.04	0	19.75	22.5	14.61	5.58	4.89	2.53	18.65	0	15.49	24.74	0	0.64	0	1.1	0.59	2.97	0	0.54	3.83	2.28	10.8	291.35	27.43	23.33	0.95	0.51	19	2.71	5.18	3.85	0.51	0	10.32	4.46	6.26	12.27	1.01	7.53	2.31	281.44	12.74	0	5.24	0	0	0.62	211.02	2.15	30.71	1.59	25.16	9.52	2.45	22.64	10.87	7.58	17.89	181.67	4.1	19.69	0	9.42	142.73	21.34	0.92	64.72	3.07	7.08	1.71	18.16	23.18	2.79	4.88	0	2.95	20.24	18.76	14.55	37.92	16	13.52	3.77	8.05	0	50.15	8.05	24.27	0.52	2.12	0	31.6	10.87	1.11	14.83	8.59	796.27	15.08	0.89	260.34	93.05	23.81	10.22	6.76	573.86	12.64	320.34	6	0	18.87	0.41	169.65	98.43	8.91	146.28	108.34	35.11	0.99	1	0	0.52	10.78	1.05	5.73	2.2	21.22	19.03	0.4
"12.61"	1.56	3.67	20.66	2.84	21.35	1.96	23.41	27.89	20.81	201.01	7.24	27.99	156.54	14.16	238.36	110.01	1.46	114.77	103.76	1.01	0	1.14	9.74	18.54	52.12	136.66	50	7.21	129.78	12.57	8.15	18.66	0	0	4.79	8.9	0	8.46	3.37	0	115.57	15.48	0.87	6.15	3.78	1.74	13.73	5.91	19.93	7.44	1.1	0	0.56	3.73	2.82	1.54	1.79	0.95	3.28	6.02	11.47	734.69	34.25	18.6	2.45	2.32	14.64	0	2	3.79	0.96	2.02	0	0.61	6.18	4.99	14.85	4.84	0.46	378	6.98	0.47	1.95	0	0	2.47	139.43	6.22	11.59	2.97	60.93	1.33	3.58	17.5	12.28	11.23	18.17	168.61	1.94	5.52	0.97	21.56	102.15	17.89	5.73	16.58	0.53	9.08	1.54	16.18	13.96	0.33	0	2.31	2.71	21.28	40.1	2.33	22.65	9.28	5.35	1.35	13.06	0	27.68	1.91	4.7	4.66	1.96	1.02	14.53	9.06	2.6	11.24	6.01	702.33	10.6	1.89	158.82	71.03	5.07	14.06	2.47	374.69	53.7	290.11	73.29	2.58	95.8	4.75	467.1	65.11	10.54	15.05	59.91	145.56	0	2.88	0.83	1.64	33.79	1.54	2.74	1.94	11.16	4.88	1.62
"13.62"	0.51	1.79	32.96	1.1	19.3	0.84	33.8	46.99	96.31	311.83	9.88	2.37	31.88	11.04	58.45	163.89	2.29	140.83	178.01	0	0	0.79	1.3	12.78	60.46	209.17	3.85	3.08	206.53	13.06	10.2	31.97	0	0.44	6.46	6.51	0	31.58	10.84	5.26	55.98	14.72	0.34	0.94	5.66	1.91	11.24	0.78	12.74	18.13	2.75	2.41	0	0.51	0.89	0	0.45	0	2.49	1.24	32.01	259.05	30.8	11.02	5.17	7.89	40.76	0	3.79	0.85	0	0	0.64	1.3	14.29	50.81	3.87	1.66	1.65	310.22	15.12	0.37	1.99	4.49	1.54	0.45	184.79	1.69	23.71	0.91	31.15	2.84	0.89	23.05	31.81	5.65	12.15	201.34	1.37	2.08	0	29.49	128.9	29.99	5.4	34	2.33	5.08	1.21	8.33	28.33	6.6	0	2.53	7.35	22.93	9.64	6.29	20.83	6.92	8.75	0	18.18	0.43	50.48	3.84	13.33	5.71	0	0	25.15	11.84	2.19	13.5	4.91	842.08	16.57	6.03	241.47	58.42	18.03	25.94	7.4	579.96	11.51	393.52	1.9	0.5	21.79	0	303.98	97.69	24.22	27.5	105.07	28.53	5.56	0.48	2.23	0	4.74	0.39	1.74	0.99	19.2	13.75	2.65
"14.03"	0.79	4.3	28.34	3.19	13.91	0.67	20.36	24.3	118.38	247.49	4.95	8.15	72.66	20.32	109.47	166.07	0	156.49	150.45	1.34	1.47	0	1.47	13.6	58.12	139.19	13.8	2.68	166.59	10.15	12.38	35.47	0	0	2.68	7.06	0.7	19.26	2.5	2.02	69.32	16.23	0.58	7.76	4.11	4.52	6.55	2.46	17.89	6.18	1.89	1.22	0.58	0	0.56	2.18	0	0	2.59	5.05	10.32	452.18	35.7	12.12	6.97	1.27	17.72	0.67	2.77	0	0	0.6	0.55	0.5	0.73	25.21	7.54	2.25	0	431.12	27.98	0	0.88	0.82	0	1.45	157.17	1.35	9.64	0	25.48	2	10.43	14.04	6.22	5.85	17.61	206.06	2.06	0.72	0	34.6	97.73	28.97	1.86	24.14	0	10.53	1.88	10.84	26.88	1.39	0	6.28	4.75	19.02	28.25	8.68	27.92	8.42	6.55	0.67	20.89	0	38.69	2.24	11.88	41.13	1.46	0	28.24	5.77	5.28	4.97	4.62	683.43	13.61	31.9	227.67	69.68	12.09	10.23	7.65	525.57	23.96	318.83	1.32	1.41	37.7	0	471.31	90.93	11.79	18.5	83.7	66.49	3.16	0	0.72	3.53	39.06	1.47	0	0.69	16.98	16.67	0
"15.6"	0.93	2.28	18.44	2.14	14.51	2.29	15.66	22.47	12.53	203.57	8.62	21.04	132.38	26.95	319.74	127.36	2.42	113.61	99.14	1.48	0.36	0.27	1.86	15.5	31.98	126.51	16.1	1.72	131.83	18.26	8.44	28.6	0.73	0.36	5.17	7.12	0.58	8.46	4.51	0.31	17.06	11.39	3.04	3.47	4.07	2.33	9.09	3.19	39.61	5.37	0.36	0	0	3.54	0.91	1.52	4.01	1.54	4.49	5.79	11.36	939.01	25.26	21.8	9.74	2.53	19.04	0	1.48	3.44	0.26	1.87	1.34	0.65	3.96	9.15	13.55	2.49	0	547.33	8	0.99	0.9	0.37	0.31	2.57	120.26	1.97	10.62	2.71	46.5	1.19	3.9	15.1	5.74	12.42	29.63	141.72	2.64	11.38	0.99	27.33	67.98	18.42	1.88	20.59	0.98	7.43	3.63	6.45	14.71	1.02	0.77	0	2.95	18.1	132.66	5.96	19.37	6.87	7.06	3.22	7.52	0.89	13.21	2.75	2.9	5.2	1.19	0.93	14.45	6.49	8.53	2	6.29	617.25	11.26	0	175.66	53.58	5.87	9.88	4.82	359.4	44.05	282.71	20.51	1.85	101.44	0.92	325.25	59.28	8.67	16.66	78.1	174.05	1.08	1.8	0.31	5.15	43.28	8.52	0.37	5.35	16.25	8.43	0.34
"15.91"	2.21	3.38	16.97	2.94	13.48	5.28	10.28	27.66	13.85	189.73	8.41	20.25	144.99	22.34	421.63	114.46	3.22	122.35	103.14	0.24	1.44	0.39	4.38	14.14	24.7	122	23.11	2.67	125.13	12.15	11.54	31.32	0	0.18	5.22	7.56	0.19	7.51	1.6	1.17	15.81	11.86	1.35	3.71	6.02	2.04	11.02	3.93	22.96	3.92	0	0	0.46	3.19	0.39	2.15	2.54	1.37	3.54	7.01	9.33	829.59	28.7	23.55	5.81	3.03	16.18	0.79	1.96	4.16	0.67	3.7	1.51	1.14	5.47	4.15	19.37	0.95	0.52	583.3	6.47	0.86	0	0	0	3.24	119.05	1.31	11.12	2.52	48.15	1.69	5.63	16.48	7.5	8.52	25.54	133.65	3.17	12.22	0.48	33.36	71.14	16.23	2.78	22.63	0	7.5	2.71	6.14	15.02	1.01	0.23	0.6	2.76	13.07	139.08	6	18.03	5.81	6.28	2.39	12.48	0.24	11	2.98	5.72	5.61	1.48	0	12.54	6.63	7.23	2.54	5.27	581.24	10.74	0	158.95	48.31	8.69	9.04	4.91	348.99	55.66	269.74	37.47	2.94	122.91	1.41	336.66	55.88	9.32	18.23	84.19	190.44	1.1	2.33	1	3.33	46.61	6.9	0.77	4.26	15.38	10.84	0.31
"16.5"	0	0.51	25.99	1.4	14.91	0.48	30.25	47.79	55.14	274.15	2.59	11.67	50.51	21.03	138.82	165.77	0	178.43	119.6	0.49	0	4.8	2.34	18.26	52.44	143.66	5.92	109.93	187.99	8.88	9.51	44.57	0	0	4.03	6.15	0	14.82	0.79	3.45	24.22	11.63	5.44	2.73	6.22	0.48	11.94	2.27	20.16	25.89	0.59	0	0	0	0	1.5	0.43	1.27	0.56	6.21	15.83	503.81	23.16	5.95	5	0.9	25.1	5.16	23.6	1.47	1.76	1.48	0.53	6.83	9.47	72.88	9.54	0.99	0	361.9	15.54	0.42	0	0	0	1.5	192.35	1.58	12.77	0	22.83	7.8	1.3	24.52	13.21	8.48	10.61	156.97	1.33	3.24	0	4.73	118.2	14.73	1.43	23.39	0.5	3.53	5.24	17.24	61.77	7.76	0	0.41	2.64	22.24	44.01	3.04	23.1	15.74	5.28	1.33	16.02	0	20.58	1.96	4.02	1.86	0	13.8	23.94	6.9	1.92	12.6	3.11	805.57	7.04	0	233.58	65.43	8.92	7.47	9.83	568.84	18.24	357.06	17.25	0.51	27.06	0.96	198.11	92.44	19.23	30.6	104.4	51.08	7.1	0.5	0	0	9.24	4.4	0.48	6.57	22.67	6.98	0
"17.34"	0	2.76	23.66	1.35	27.41	2.19	19.83	32.07	27.54	269.65	8.18	11.56	58.19	33.93	177.84	159.96	3.52	160.23	121.64	0.35	0.47	0.88	1.8	25.53	51.58	166.81	13.24	1.57	171.2	12.95	5.74	42.52	0	0.33	2.5	8.99	0.46	22.59	6.9	5.08	14.56	18.31	2.59	1.17	6.53	0.79	10.61	2.9	20.71	2.41	0.96	0	0	0	0.51	2.63	0.9	1.25	1.9	7.47	17.53	614.71	34.27	8.13	2.86	5.84	20.87	0	9.49	3.47	0.35	0.36	0	0.95	5.98	13.8	20.04	1.99	0.32	493.6	22.23	0.91	2.73	0	0	1.86	137.7	5.55	18.07	0.37	54.39	0.42	1.64	29.68	10.94	6.19	14.91	181	3	9.1	0	12.59	116.21	26.19	2.96	26.63	0	9.25	6.04	13.85	19.97	2.12	5.04	0	1.83	23.9	84.52	2.98	25.26	9.33	5.61	3.03	10.28	0.39	25.48	2.34	14.15	1.13	1.73	0.32	17.39	5.04	4.15	8.11	4.93	699.69	8.52	0	213.67	85.11	11.34	10.08	16.62	482.94	23.81	393.47	28.08	0.92	44.95	3.48	176.63	84.84	13.97	28	94.3	86.29	6.05	1.65	1.19	0.43	16.24	5.62	0	2.59	19.89	4.66	0.77
"18.39"	1.49	1.33	45.7	5.86	14.07	3.3	32.08	35.78	32.47	251.96	4.48	14.36	67.9	27.5	146.01	171.56	3.02	126.5	125.01	0.98	0.85	0	0.88	16.04	54.86	160.29	18.69	0.46	153.43	15.5	7.45	26.42	0	0	12.02	1.85	0.96	32.68	5.25	0.45	12.76	15.33	1.23	1.26	5.68	0.37	16.94	4.33	37.98	7.2	0.54	0	0	1.31	0.66	1.5	1.7	0.4	1.82	4.61	31.08	912.78	21.58	9.94	1.33	10.63	16.93	0	2.38	1.45	1	0	0	3.29	5.55	1.25	9.69	0.88	0	431.15	13.06	0.61	0	0	0.46	1.87	111.66	3.96	35.01	0.86	33.79	1.89	2.45	14.55	13.41	6.76	16.1	155.38	2.23	7.41	0.42	7.42	107.9	8.54	0.48	21.53	0	8.67	7.65	13.45	15.68	0.39	0	0	1.44	51.85	80.91	7.47	22.28	4.48	7.63	2.54	6.67	0	29.3	0.46	7.12	6.03	0	0	21.92	4.22	3.78	12.08	9.13	710.2	11.93	0	208.45	83.25	6.13	4.96	4.58	462.66	23.26	329.54	34.45	0.42	59.01	0.95	184.38	85.63	13.26	25.43	107.18	94.48	6.24	1.38	1.05	0	9.48	1.61	0.51	3.25	23.95	4.67	1.84
"19.3"	0.51	4.27	20.39	4.8	14.43	1.64	25.79	28.08	25.52	251.54	3.42	13.5	65.99	8.68	199.27	145.72	1	155.04	141.49	1.1	0.78	0.44	1.82	20.84	68.65	159.15	26.44	6.89	172.27	16.1	12.06	44.68	0	0.42	8.19	8.34	0	15.72	5.98	7.43	28.3	16.29	1.36	5.52	5.07	6.16	12.7	2.18	20.61	11.06	0.37	0	0	0.47	0.45	1.59	0.97	0.42	3.54	7.29	7.61	592.11	27.47	14.48	1.84	2.67	23.57	0	18.34	1.67	0	0.83	0.54	1.59	12.53	16.09	8.75	0.39	0.95	448.5	6.6	0.48	4.5	0	0	2.23	137.38	0	19.02	0.93	51	1.02	3.17	19.39	11.46	9.71	21.17	159.36	1.79	6.93	0	9.95	132.11	19.29	1.33	37.68	1	9.38	2.67	23.74	23.4	0.44	0	0	4.87	20.63	120.81	10.6	23.27	7.23	3.47	1.04	10.06	0.51	19.53	1.83	17.36	0.99	5.38	0	19.71	5.86	2.03	12.03	12.16	708.41	12	0	220.4	81.04	9.29	11.52	4.85	466.11	18.8	359.02	39.2	0	68.68	0.4	212.23	75.31	11.77	39.86	73.78	105.77	4.42	3.65	2.69	2.9	25.41	3.17	0	1.96	13.38	6.64	1.18
"19.9"	0	13.12	27.73	1.34	32.59	1.49	30.09	35.45	38.91	317.28	9.37	7.81	28.31	16.72	81.42	206.74	0	174.41	149.14	8.61	0	1.13	1.93	15.16	88.19	177.78	8.52	0.71	189.53	16.86	17.01	70.82	0	0	8.92	10.01	0	46.77	11.17	0.59	33.18	29.77	7.3	0.8	17.49	1.25	20.53	2.49	29.54	12.03	1.28	0	0	2.05	1.25	3.44	0	0.74	6.9	3.76	17.24	238.9	29.56	13.63	14.69	2.54	24.61	0	2.83	8.52	0	0.68	0.53	0	9.35	10.23	2.13	0	0.57	332.47	13.12	7.49	2.73	0	8.95	1.28	169.11	1.18	19.53	0	21.95	4.54	0.79	43.56	7.43	12.04	18.39	209.21	1.22	3.72	0	11.76	161.36	27.51	10	23.55	2.76	8.36	1.4	26.38	17.36	0.62	0	2.69	6.41	34.87	51.27	10.04	52.32	3.88	3.9	3.18	14.53	0	27.44	8.67	8.37	1.8	3.55	0	33.78	8.7	2.59	10.39	12.81	789.37	14.56	0	197.49	90.59	17.65	10.99	3.88	545.2	5.99	346.13	16.79	1.28	33.27	0	230.57	127.21	23.22	25.29	139.48	51.96	3.89	0	0.7	0.65	8.59	0.86	1.28	3	23.28	12.8	0.63
