"1.08"	"1.75"	"2.36"	"2.99"	"3.66"	"4.31"	"5.6"	"6.26"	"7.56"	"8.29"	"9.84"	"10.73"	"11.17"	"11.56"	"12.13"	"12.61"	"13.62"	"14.03"	"15.6"	"15.91"	"16.5"	"17.34"	"18.39"	"19.30"	"19.9"
"Pterocladiaceae"	1	0	0	0	0	1	1	0	1	0	15	0	2	0	0	0	0	0	0	0	0	0	0	0	3
"Rhodomelaceae"	7	16	6	8	5	9	4	21	37	31	22	24	22	13	36	8	42	14	17	24	21	10	14	22	10
"Batrachospermaceae"	1	2	0	0	3	4	0	2	26	13	0	0	0	2	0	0	0	0	2	2	1	1	0	2	0
"Hildenbrandiaceae"	1	3	1	0	0	0	0	1	18	14	5	0	0	8	0	2	0	3	1	2	2	1	1	2	0
"Rhodochaetaceae"	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	3	0	16	1	0	0	0
"Wrangeliaceae"	0	1	1	0	0	1	0	0	4	1	21	0	2	0	0	0	3	0	0	0	1	0	0	0	0
"Boldiaceae"	0	0	0	0	1	0	0	8	8	4	4	6	14	2	1	6	3	10	2	1	0	0	0	0	0
"Champiaceae"	0	0	0	1	1	0	1	4	1	1	1	1	2	1	1	0	0	10	2	0	0	0	0	0	0
"Dixoniellaceae"	3	0	0	0	1	1	0	8	7	2	1	4	1	2	2	3	4	5	3	2	0	0	0	2	0
"Phyllophoraceae"	0	0	0	0	2	1	0	0	1	1	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0
"Rhodymeniaceae"	0	0	3	0	0	1	3	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
"Corallinaceae"	0	0	1	4	2	1	1	0	0	21	1	1	0	2	0	2	0	0	1	0	0	1	0	0	0
"Sebdeniaceae"	0	0	0	0	1	0	0	1	0	2	1	0	0	1	0	1	1	0	2	0	0	1	0	0	0
"Rhodogorgonaceae"	0	0	0	1	0	0	1	0	0	0	0	2	2	1	0	0	0	0	0	2	0	0	3	2	0
"Solieriaceae"	1	0	2	1	0	0	3	1	0	0	0	0	3	4	3	0	0	0	1	0	0	0	0	0	0
"Stylonemataceae"	1	1	0	1	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	6	0	0	0
"Schizymeniaceae"	1	0	2	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	5	0
"Erythrotrichiaceae"	0	4	0	0	0	0	0	0	4	3	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"Zosteraceae"	6	9	21	88	17	15	3	4	9	27	15	51	8	1	2	10	3	0	1	0	3	2	1	0	0
"Lingulidae"	28	34	26	25	32	33	10	27	65	63	32	49	23	42	24	27	25	20	41	46	21	21	11	27	38
"Laqueidae"	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	0	7	0	1	1	0	1	0	0	0
"Aporocotylidae"	0	0	0	0	1	0	1	7	1	1	2	1	8	1	0	0	3	1	0	0	0	0	0	0	0
"Dugesiidae"	0	3	3	1	2	3	2	2	11	2	22	2	1	4	5	1	12	3	8	5	0	3	2	3	0
"Macrostomidae"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0
"Priapulidae"	26	22	23	32	53	80	22	189	168	80	83	35	81	12	105	120	869	92	33	45	93	296	23	74	376
"Oxystominidae"	0	2	2	2	3	1	3	3	1	1	2	1	2	3	1	3	0	6	15	11	2	6	11	3	1
"Niphatidae"	25	55	47	32	37	22	18	36	53	25	32	34	41	23	44	18	31	22	32	34	15	23	15	14	13
"Suberitidae"	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	8	1	1
"Rossellidae"	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ascidiidae"	10	24	11	12	19	15	3	17	12	17	23	10	16	8	14	21	25	6	13	29	10	25	21	20	22
"Cionidae"	42	21	12	18	11	15	20	24	24	27	32	25	60	20	33	14	34	35	32	39	12	25	12	29	34
"Oikopleuridae"	1	0	1	2	0	1	0	0	4	1	0	0	2	0	4	0	0	0	2	3	0	0	1	0	2
"Styelidae"	22	29	13	28	28	27	19	38	53	19	49	43	43	27	52	49	45	27	39	56	40	43	17	34	38
"Pyuridae"	3	0	2	1	1	1	1	0	1	1	0	5	3	4	0	2	2	7	0	3	1	0	0	0	0
"Molgulidae"	0	3	0	2	2	0	0	4	0	1	2	2	1	2	0	1	0	1	2	0	0	0	0	1	0
"Asellidae"	0	1	0	1	2	1	0	1	0	0	1	0	0	1	0	6	0	2	0	0	0	0	1	0	1
"Daphniidae"	43	31	22	23	25	23	12	49	127	36	24	64	43	41	13	25	25	44	47	44	28	33	20	25	45
"Harpacticidae"	0	1	1	0	0	0	0	0	0	0	9	3	2	0	0	0	1	0	4	3	0	0	1	0	1
"Hyalellidae"	35	42	32	18	41	34	27	65	89	59	10	58	34	34	37	23	47	21	33	40	20	75	25	41	46
"Hyalidae"	2	1	0	0	0	0	0	2	17	4	1	2	9	4	0	0	14	7	1	4	0	4	0	4	1
"Palaemonidae"	995	829	643	648	792	666	494	922	1147	873	1027	1198	1141	796	887	706	1131	562	1007	1344	998	1075	1117	894	814
"Parastacidae"	2	3	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	1	3	0	6	25	8	1
"Penaeidae"	3676	247	36	49	63	55	20	75	60	46	60	71	61	36	60	43	64	32	57	71	39	48	38	49	72
"Pollicipedidae"	53	28	30	19	21	11	4	18	22	17	20	19	23	15	14	12	12	9	35	26	14	22	18	19	23
"Balanidae"	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	5	0	0	1	0	1	0	0	0	0
"Nephropidae"	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	6	1	0	0	0
"Cypridinidae"	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
"Allocrangonyctidae"	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	1	0
"Portunidae"	2	1	0	0	3	0	1	1	1	0	0	1	0	2	0	9	1	0	0	3	0	1	1	0	0
"Varunidae"	2	1	1	1	0	0	0	2	0	0	5	0	0	0	1	6	2	0	0	3	0	1	1	4	0
"Lysianassidae"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0
"Tetragonicipitidae"	62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Ampullariidae"	70	55	39	48	65	37	26	60	64	47	45	98	79	56	57	20	50	32	56	77	62	53	25	38	21
"Aplysiidae"	213	89	52	116	134	73	56	100	107	95	106	145	63	99	59	270	82	135	525	632	201	213	217	243	86
"Lottiidae"	29	33	13	26	23	23	9	28	47	26	21	14	28	29	34	21	38	13	24	34	19	36	12	22	12
"Lymnaeidae"	0	0	1	1	4	0	0	1	0	1	1	0	0	2	1	2	0	0	0	0	0	0	0	0	1
"Mytilidae"	12	21	20	74	36	28	14	26	17	17	16	11	28	41	3	37	24	42	6	7	1	6	12	7	9
"Ostreidae"	563	538	488	490	556	535	291	728	705	618	810	817	778	569	707	521	813	399	736	925	677	709	638	583	492
"Pectinidae"	508	497	398	390	443	450	267	624	683	516	583	672	685	485	644	418	642	352	581	733	558	544	563	511	456
"Pteriidae"	1	0	1	0	1	2	2	2	2	1	0	0	3	0	0	1	2	1	1	1	0	2	0	3	4
"Unionidae"	2	1	4	3	2	0	0	6	0	1	0	0	0	0	1	3	2	1	0	8	2	0	1	1	1
"Aglajidae"	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	4	0	0	19	9	0	5	0
"Conidae"	0	0	1	2	1	1	0	4	0	0	0	0	0	3	5	1	0	0	1	0	1	1	1	0	0
"Haliotidae"	9	2	4	1	3	4	2	0	2	0	10	1	0	5	0	1	18	3	4	3	1	1	2	1	0
"Veneridae"	0	2	2	0	0	0	0	2	1	1	7	1	1	8	0	0	1	1	1	1	1	1	1	1	0
"Vesicomyidae"	0	0	1	0	0	0	0	0	6	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"Camaenidae"	0	0	1	2	3	6	1	0	2	2	6	1	0	1	0	0	0	2	0	0	0	0	0	1	0
"Cardiidae"	0	2	0	0	1	0	0	0	0	0	0	0	2	1	1	1	0	2	3	5	0	1	1	0	0
"Clausiliidae"	0	1	0	1	4	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0
"Muricidae"	2	0	0	0	0	0	0	2	0	0	2	1	0	1	2	0	3	1	1	1	0	1	0	0	0
"Arcidae"	1	0	0	3	0	1	5	1	1	1	0	24	0	5	0	1	0	0	0	0	0	8	13	1	0
"Tellinidae"	0	0	1	1	1	2	0	3	0	1	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0
"Mactridae"	0	0	0	0	2	1	2	1	0	0	1	1	1	0	3	0	0	0	1	0	0	0	0	1	0
"Littorinidae"	0	2	0	2	0	1	0	0	0	0	3	2	0	1	3	0	0	0	0	1	0	1	1	2	0
"Rhytididae"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	2	0
"Buccinidae"	1	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	3	2	0	1	0	0	0
"Solecurtidae"	0	0	0	0	0	0	0	0	10	5	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Acanthasteridae"	41	32	39	21	41	37	9	53	36	38	24	35	51	36	53	22	36	27	39	59	21	36	62	30	32
"Asteriidae"	304	233	196	216	263	219	191	249	339	280	321	321	302	235	302	211	301	126	266	325	352	291	309	235	214
"Asterinidae"	162	34	32	28	38	38	9	32	48	22	26	24	34	21	24	26	42	18	27	57	18	23	20	17	12
"Comatulidae"	34	42	20	41	48	48	39	52	50	43	71	73	59	38	14	34	45	31	45	78	76	43	21	34	28
"Strongylocentrotidae"	78	61	59	107	64	67	23	84	86	80	69	106	102	71	42	93	84	58	153	200	95	107	73	95	46
"Echinometridae"	2	0	0	0	1	0	0	0	0	70	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0
"Stichopodidae"	0	1	0	1	0	0	0	0	0	2	0	0	2	1	0	0	0	1	2	2	0	2	2	1	0
"Acroporidae"	47	40	35	35	47	47	23	71	71	69	86	99	114	52	76	38	68	34	56	68	39	40	33	55	49
"Actiniidae"	79	36	23	23	21	31	15	56	75	39	42	54	50	40	32	31	37	43	49	65	33	59	57	46	21
"Aiptasiidae"	33	28	26	27	47	38	9	44	39	37	47	34	47	26	26	22	38	22	41	28	68	43	11	28	27
"Edwardsiidae"	39	45	42	35	46	36	18	45	83	45	21	66	37	28	53	39	26	19	36	47	31	49	49	34	31
"Hydractiniidae"	2	4	1	5	3	3	0	1	0	2	0	2	4	0	0	2	1	2	1	6	3	2	2	1	3
"Merulinidae"	41	45	41	25	23	35	10	45	57	44	54	41	45	27	28	18	53	20	44	56	46	68	58	33	33
"Nephtheidae"	27	32	34	18	37	24	18	34	27	26	41	23	20	32	15	22	74	24	25	41	37	33	58	31	23
"Pocilloporidae"	45	51	50	49	74	46	45	69	74	59	78	228	91	53	86	45	112	51	53	85	52	65	78	82	67
"Sertulariidae"	0	0	2	0	0	0	0	0	0	0	0	3	0	1	0	1	2	1	2	2	1	4	0	1	0
"Alcyoniidae"	0	0	0	0	0	0	8	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Limulidae"	39	50	25	34	33	42	30	100	37	43	40	62	74	29	46	53	75	21	53	55	35	51	51	40	34
"Ammotheidae"	2	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0
"Lumbricidae"	2	2	1	1	0	0	1	0	8	5	1	0	12	2	0	0	0	1	1	0	1	1	1	0	0
"Megascolecidae"	0	2	1	0	0	0	2	2	1	6	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0
